,report_agency_name,report_pwsid,report_date,report_days_in_month,report_population,report_percent_residential,report_production_calculated,report_irr_area_sf,report_eto,Residential_Production,Target_Production,PWSID,Medium,Medium_val,color
0,"Corcoran, City of",CA1610004,2017-02-15,28,24154,0.85,81690000.0,8692999.0,1.82513,69436500.0,45066623.2194,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
1,"Corcoran, City of",CA1610004,2017-03-15,31,24154,0.85,104720000.0,8692999.0,3.9128,89012000.0,58053497.3777,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
2,"Corcoran, City of",CA1610004,2017-04-15,30,24154,0.85,120710000.0,8692999.0,5.63691,102603500.0,64158919.8846,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
3,"Corcoran, City of",CA1610004,2017-05-15,31,24154,0.85,175910000.0,8692999.0,7.49308,149523500.0,73490689.1257,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
4,"Corcoran, City of",CA1610004,2017-06-15,30,24154,0.85,210070000.0,8692999.0,8.69538,178559500.0,77346209.1037,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
5,"Corcoran, City of",CA1610004,2017-08-15,31,24154,0.85,217521000.0,8692999.0,7.87945,184892850.0,75156611.2814,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
6,"Corcoran, City of",CA1610004,2017-07-15,31,24154,0.85,232860000.0,8692999.0,9.05561,197931000.0,80227892.7025,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
7,"Corcoran, City of",CA1610004,2016-09-15,30,24154,0.85,168320000.0,8692999.0,6.25919,143072000.0,66842021.6758,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
8,"Corcoran, City of",CA1610004,2016-07-15,31,24154,0.85,198280000.0,8692999.0,9.09328,168538000.0,80390315.4776,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
9,"Corcoran, City of",CA1610004,2016-04-15,30,24154,0.85,128705000.0,8692999.0,5.75455,109399250.0,64666151.5081,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
10,"Corcoran, City of",CA1610004,2015-06-15,30,24154,0.85,172690000.0,8692999.0,8.67344,146786500.0,77251609.8023,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
11,"Corcoran, City of",CA1610004,2015-03-15,31,24154,0.85,128060000.0,8692999.0,4.76602,108851000.0,61732349.5186,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
12,"Corcoran, City of",CA1610004,2014-12-15,31,24154,0.85,99170000.0,8692999.0,1.16968,84294500.0,46225911.4269,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
13,"Corcoran, City of",CA1610004,2014-10-15,31,24154,0.87,163792000.0,8692999.0,4.12574,142499040.0,58971636.6324,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
14,"Corcoran, City of",CA1610004,2016-06-15,30,24154,0.85,186564000.0,8692999.0,8.86036,158579400.0,78057557.9073,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
15,"Corcoran, City of",CA1610004,2015-10-15,31,24154,0.85,131000000.0,8692999.0,4.01507,111350000.0,58494457.7495,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
16,"Corcoran, City of",CA1610004,2014-08-15,31,24154,0.86,190237000.0,8692999.0,8.12646,163603820.0,76221651.0922,CA1610004,"$35,000 to $39,999",0.569151429911,4.0
