supplier_name,pwsid,Estimate; Total:,total_pop,avg_hhsize
Adelanto City of,CA3610001,345,1035,3.0
Alameda County Water District,CA0110001,105006,320928,3.0562824981429633
Alco Water Service,CA2710001,12434,49349,3.9688756635032973
Alhambra  City of,CA1910001,29137,77044,2.6441980986374714
"American Canyon, City of",CA2810005,6037,19621,3.2501242338910057
Anaheim  City of,CA3010001,102362,322046,3.1461479846036613
"Anderson, City of",CA4510001,3595,8495,2.3630041724617525
Antioch  City of,CA0710001,32412,97047,2.994168826360607
Apple Valley Ranchos Water Company,CA3600010,18314,50682,2.767391066943322
Arcadia  City of,CA1910003,18617,52072,2.797013482301123
Arcata  City of,CA1210001,4315,9342,2.165005793742758
Arroyo Grande  City of,CA4010001,7633,18432,2.4147779379012184
Arvin Community Services District,CA1510001,1376,5566,4.045058139534884
Atascadero Mutual Water Company,CA4010002,11162,28649,2.5666547213760973
Atwater  City of,CA2400234,6831,20419,2.9891670326452937
Azusa  City of,CA1910007,24365,80757,3.31446747383542
Bakersfield  City of,CA1510031,33028,92318,2.7951435145936783
Bakman Water Company,CA1010001,5095,16127,3.1652600588812563
Banning  City of,CA3310006,9289,24042,2.588222628915922
Beaumont-Cherry Valley Water District,CA3310002,5961,16486,2.765643348431471
Bella Vista Water District,CA4510014,6343,15410,2.4294497871669556
Bellflower-Somerset Mutual Water Company,CA1910013,14085,40716,2.89073482428115
Benicia  City of,CA4810001,8369,20046,2.3952682518819453
Beverly Hills  City of,CA1910156,21965,44232,2.0137491463692236
Big Bear City Community Services District,CA3610008,3116,7459,2.3937740693196408
Blythe  City of,CA3301428,3083,7511,2.436263379824846
Brawley  City of,CA1310001,6585,19762,3.001063022019742
Brea  City of,CA3010002,12819,33874,2.6424838130899446
Brentwood  City of,CA0710004,7272,19443,2.673679867986799
Buena Park  City of,CA3010003,25112,80372,3.200541573749602
Burbank  City of,CA1910179,41585,98105,2.359143922087291
Burlingame  City of,CA4110003,12614,29573,2.344458538132234
Calaveras County Water District,CA0510004,2225,5378,2.4170786516853933
Calexico  City of,CA1310002,6873,23332,3.394733013240215
California City  City of,CA1510032,4283,11019,2.57272939528368
California Water Service Company Antelope Valley,CA1500333,1400,3509,2.5064285714285712
California Water Service Company Bakersfield,CA1510003,67122,204601,3.0481958225321057
California Water Service Company Bear Gulch,CA4110006,20499,53839,2.6264208010146834
California Water Service Company Chico District,CA0410002,34924,80528,2.3058068949719392
"California Water Service Company Dixon, City of",CA4810002,1424,4556,3.199438202247191
California Water Service Company Dominguez,CA1910033,35562,109086,3.0674877678420787
California Water Service Company East Los Angeles,CA1910036,31341,109489,3.493475000797677
California Water Service Company Hermosa/Redondo,CA1910134,50945,117935,2.314947492393758
California Water Service Company Kern River Valley,CA1510026,621,1519,2.4460547504025767
California Water Service Company King City,CA2710009,2395,8509,3.5528183716075157
California Water Service Company Livermore,CA0105008,23985,64513,2.68972274338128
California Water Service Company Los Altos/Suburban,CA4310001,30785,84603,2.748189053110281
California Water Service Company Marysville,CA5810001,3948,10089,2.5554711246200608
California Water Service Company Mid Peninsula,CA4110008,38791,97268,2.5074888505065607
California Water Service Company Oroville,CA0410005,3584,8881,2.4779575892857144
California Water Service Company Palos Verdes,CA1910104,23427,61484,2.6244931062449313
California Water Service Company Salinas District,CA2710010,28288,87941,3.1087740384615383
California Water Service Company Selma,CA1010024,6560,22477,3.426371951219512
California Water Service Company South San Francisco,CA4110009,16177,46708,2.8873091426098783
California Water Service Company Stockton,CA3910001,51332,148907,2.9008610613262684
California Water Service Company Visalia,CA5410041,36717,104876,2.8563335784513986
California Water Service Company Westlake,CA5610016,8450,19869,2.351360946745562
California Water Service Company Willows,CA1110003,1084,2696,2.4870848708487086
California-American Water Company Los Angeles District,CA1910052,31406,88313,2.8119786028147487
California-American Water Company Monterey District,CA2701202,235,1073,4.56595744680851
California-American Water Company Sacramento District,CA3110150,63780,178651,2.8010504860457823
California-American Water Company San Diego District,CA3710001,30602,87581,2.8619371282922685
California-American Water Ventura District,CA5610040,20429,55329,2.708355768760096
Camarillo  City of,CA5610019,13856,37644,2.7168013856812934
Cambria Community Services District,CA4010014,1548,3327,2.14922480620155
Camrosa Water District,CA5610063,8521,21805,2.5589719516488674
Carlsbad Municipal Water District,CA3710005,36167,88820,2.4558299001852517
Carmichael Water District,CA3410004,17811,39877,2.2388973106507213
Carpinteria Valley Water District,CA4210001,5472,13800,2.5219298245614037
Casitas Municipal Water District,CA5610024,13995,34923,2.4953912111468384
Castaic Lake Water Agency Santa Clarita Water Division,CA1910017,25448,74256,2.917950330084879
Ceres  City of,CA5010028,10575,34002,3.21531914893617
Cerritos  City of,CA1910019,15695,47479,3.0251035361580123
Chino  City of,CA3610012,15741,49844,3.1665078457531286
Chino Hills  City of,CA3610036,22331,66323,2.9699968653441404
Citrus Heights Water District,CA3410006,24821,61022,2.458482736392571
City of Newman Water Department,CA5010013,3361,10597,3.152930675394228
